number,player,dig,dig_per_set,re,ra,re_per_set,bs,ba,blk,blk_per_set,be,bhe
6,Kate Thibault,2.1,2.1,0.1,3.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
15,Jordan Taylor,0.2,0.2,0.0,0.1,0.0,0.1,1.0,1.1,1.2,0.1,0.0
1,Stella Swenson,2.1,2.1,0.0,0.1,0.0,0.0,0.6,0.6,0.6,0.1,0.0
13,Olivia Swenson,0.2,0.4,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0
12,Zeynep Palabiyik,3.7,3.7,0.1,4.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0
11,Chloe Ng,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lourdes Myers,0.4,0.4,0.0,0.1,0.0,0.1,1.1,1.2,1.2,0.2,0.0
8,Calissa Minatee,0.1,0.1,0.0,0.0,0.0,0.1,0.8,0.9,1.0,0.1,0.0
10,Georgia Lee,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Kelly Kinney,0.6,0.7,0.1,2.7,0.1,0.0,0.5,0.5,0.5,0.0,0.0
22,Julia Hanson,1.6,1.6,0.2,1.6,0.2,0.1,0.5,0.6,0.7,0.1,0.0
7,Carly Gilk,1.6,1.7,0.2,2.8,0.3,0.0,0.5,0.5,0.6,0.0,0.0
5,McKenna Garr,3.3,3.3,0.4,5.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0
4,Lauren Crowl,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0
24,Alex Acevedo,1.0,1.3,0.3,4.9,0.3,0.0,0.2,0.3,0.3,0.0,0.0
-,Team Total,12.9,12.9,1.3,18.1,1.3,0.4,4.5,2.7,2.7,0.5,0.0
-,Opponent,13.1,13.1,1.7,20.7,1.7,0.3,2.7,1.7,1.7,0.5,0.0
