number,player,dig,dig_per_set,re,ra,re_per_set,bs,ba,blk,blk_per_set,be,bhe
11,Teraya Sigler,1.5,1.5,0.2,3.2,0.2,0.0,0.1,0.1,0.1,0.0,0.0
3,Allie Sczech,0.2,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.0,0.0
2,Bergen Reilly,2.5,2.7,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.0,0.0
21,Skyler Pierce,0.2,0.4,0.0,0.4,0.1,0.0,0.1,0.1,0.1,0.0,0.0
14,Manaia Ogbechie,0.0,0.1,0.0,0.0,0.0,0.0,0.6,0.6,1.1,0.0,0.0
27,Harper Murray,2.1,2.2,0.2,3.8,0.3,0.1,0.5,0.6,0.6,0.1,0.0
10,Olivia Mauch,2.6,2.6,0.1,2.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0
12,Taylor Landfair,0.5,0.5,0.0,1.0,0.0,0.0,0.4,0.4,0.5,0.0,0.0
15,Andi Jackson,0.5,0.5,0.0,0.0,0.0,0.1,1.0,1.1,1.1,0.1,0.0
4,Campbell Flynn,0.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
6,Laney Choboy,2.7,2.7,0.3,4.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0
7,Maisie Boesiger,0.3,0.7,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0
5,Bekka Allick,0.3,0.3,0.0,0.2,0.0,0.2,1.0,1.2,1.3,0.1,0.0
9,Virginia Adriano,0.5,0.6,0.0,0.0,0.0,0.0,0.6,0.6,0.7,0.1,0.0
-,Team Total,13.6,13.6,1.0,15.2,1.0,0.5,4.5,2.7,2.7,0.4,0.0
-,Opponent,10.1,10.1,1.3,22.1,1.3,0.3,2.5,1.6,1.6,0.4,0.0
