number,player,pts,k,k_per_set,ae,ta,pct,a,a_per_set,sa,sa_per_set,se
27,Harper Murray,4.0,3.5,3.5,0.6,8.4,.295,0.4,0.4,0.3,0.3,0.4
15,Andi Jackson,3.2,2.7,2.7,0.4,4.6,.467,0.0,0.0,0.1,0.2,0.3
5,Bekka Allick,3.0,2.5,2.6,0.3,4.3,.450,0.2,0.2,0.0,0.0,0.0
9,Virginia Adriano,2.2,1.9,2.2,0.4,4.0,.287,0.0,0.0,0.1,0.2,0.3
12,Taylor Landfair,2.1,1.9,2.0,0.4,4.5,.307,0.0,0.0,0.1,0.1,0.2
14,Manaia Ogbechie,1.4,1.2,2.3,0.1,2.1,.529,0.0,0.1,0.0,0.0,0.1
2,Bergen Reilly,1.0,0.7,0.7,0.1,1.5,.390,9.9,10.5,0.2,0.2,0.2
3,Allie Sczech,0.9,0.8,1.6,0.1,1.8,.384,0.0,0.1,0.0,0.0,0.0
11,Teraya Sigler,0.8,0.7,0.7,0.1,1.7,.226,0.1,0.1,0.2,0.2,0.2
21,Skyler Pierce,0.7,0.7,1.3,0.2,1.8,.221,0.0,0.0,0.0,0.0,0.0
10,Olivia Mauch,0.2,0.0,0.0,0.0,0.0,-,0.7,0.7,0.2,0.2,0.1
4,Campbell Flynn,0.2,0.2,0.3,0.0,0.3,.467,2.2,4.5,0.0,0.1,0.1
6,Laney Choboy,0.1,0.0,0.0,0.0,0.0,.000,1.0,1.0,0.1,0.1,0.2
7,Maisie Boesiger,0.0,0.0,0.0,0.0,0.0,-,0.1,0.2,0.0,0.0,0.1
-,Team Total,24.5,14.7,14.7,2.3,30.8,.351,13.5,13.5,1.3,1.3,2.0
-,Opponent,17.2,10.2,10.2,3.3,32.7,.129,9.6,9.6,1.0,1.0,2.4
