number,player,dig,dig_per_set,re,ra,re_per_set,bs,ba,blk,blk_per_set,be,bhe
18,Abby Yoder,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Sydney Wyman,0.1,0.2,0.0,0.1,0.0,0.1,0.4,0.5,0.6,0.1,0.0
17,Reese Wuebker,1.6,1.6,0.4,5.8,0.4,0.0,0.1,0.1,0.1,0.0,0.0
3,Ella Wrobel,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Mia Tuman,2.2,2.2,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0.0
16,Mia Stahler,1.5,1.5,0.3,3.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0
23,Magdalena Juric,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0
20,Hannah Jones,1.2,1.2,0.4,4.7,0.4,0.1,0.4,0.4,0.4,0.1,0.0
15,Kaitlyn Hoffman,0.5,0.6,0.1,1.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0
6,Olivia Hasbrook,3.4,3.4,0.3,4.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0
10,Mina Gunes,1.2,1.6,0.0,0.3,0.0,0.0,0.4,0.4,0.6,0.0,0.0
4,Kamiah Gibson,0.3,0.5,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.0,0.0
11,Navea Gauthier,0.6,0.8,0.2,1.2,0.2,0.0,0.3,0.3,0.4,0.0,0.0
19,Kaia Castle,0.1,0.1,0.0,0.0,0.0,0.1,0.7,0.9,0.9,0.1,0.0
2,Ashley Carr,0.4,0.4,0.0,0.3,0.0,0.1,0.7,0.8,0.8,0.0,0.0
-,Team Total,11.9,11.9,1.7,20.9,1.7,0.4,3.0,1.9,1.9,0.3,0.0
-,Opponent,12.8,12.8,1.4,18.4,1.4,0.5,3.6,2.3,2.3,0.4,0.1
