number,player,pts,k,k_per_set,ae,ta,pct,a,a_per_set,sa,sa_per_set,se
20,Hannah Jones,3.7,3.3,3.4,1.0,9.4,.204,0.1,0.1,0.2,0.2,0.4
17,Reese Wuebker,2.7,2.6,2.7,0.7,7.1,.184,0.2,0.2,0.1,0.1,0.4
19,Kaia Castle,2.2,1.9,1.9,0.5,4.3,.211,0.0,0.0,0.0,0.0,0.0
2,Ashley Carr,1.9,1.6,1.7,0.4,3.7,.278,0.1,0.1,0.0,0.0,0.1
10,Mina Gunes,1.6,1.2,1.6,0.6,4.7,.052,0.1,0.2,0.2,0.3,0.4
11,Navea Gauthier,1.5,1.5,2.0,0.7,4.6,.093,0.0,0.0,0.0,0.0,0.1
8,Sydney Wyman,1.0,0.8,1.1,0.2,2.3,.202,0.0,0.0,0.0,0.0,0.0
9,Mia Tuman,0.8,0.5,0.5,0.1,1.4,.224,8.7,8.7,0.2,0.2,0.2
3,Ella Wrobel,0.7,0.7,2.0,0.0,1.7,.400,0.0,0.0,0.0,0.0,0.0
6,Olivia Hasbrook,0.4,0.0,0.0,0.0,0.3,.036,1.0,1.0,0.4,0.4,0.4
23,Magdalena Juric,0.3,0.3,0.5,0.0,1.3,.103,0.0,0.0,0.0,0.1,0.0
16,Mia Stahler,0.2,0.0,0.0,0.0,0.0,.333,0.1,0.2,0.2,0.2,0.2
4,Kamiah Gibson,0.2,0.1,0.2,0.0,0.6,.111,1.3,2.2,0.0,0.0,0.1
18,Abby Yoder,0.1,0.0,0.0,0.0,0.0,-,0.0,0.0,0.1,0.2,0.3
15,Kaitlyn Hoffman,0.1,0.0,0.0,0.0,0.0,-,0.1,0.1,0.1,0.1,0.1
-,Team Total,20.3,11.8,11.8,3.5,32.8,.185,11.1,11.1,1.4,1.4,2.2
-,Opponent,23.2,13.4,13.4,2.8,32.4,.268,12.3,12.3,1.7,1.7,2.2
