number,player,dig,dig_per_set,re,ra,re_per_set,bs,ba,blk,blk_per_set,be,bhe
8,Valentina Vaulet,1.2,1.2,0.3,4.3,0.3,0.0,0.4,0.4,0.4,0.0,0.0
3,Ksenija Tomic,0.5,0.7,0.1,1.4,0.1,0.1,0.1,0.2,0.3,0.1,0.0
6,Cora Taylor,1.9,1.9,0.0,0.1,0.0,0.0,0.3,0.3,0.3,0.0,0.0
10,Maria Tabacuks,0.7,1.2,0.2,3.2,0.2,0.0,0.3,0.3,0.5,0.0,0.0
14,Iva Sucurovic,0.4,0.4,0.0,0.1,0.0,0.0,1.1,1.1,1.1,0.1,0.0
2,Reese Sheppard,2.2,2.5,0.2,3.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0
22,Maya De Los Reyes,0.3,0.5,0.1,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0
5,Kamden Mitchell,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Sophia Meyers,1.8,1.9,0.3,5.2,0.3,0.1,0.3,0.4,0.4,0.0,0.0
9,Holley McFadden,0.0,0.0,0.0,0.1,0.0,0.1,0.8,0.9,0.9,0.2,0.0
4,Jillian McCarty,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Natalie Fukumoto,1.8,1.8,0.2,2.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0
1,Orian Drore,0.4,0.6,0.1,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0
7,Alanah Clemente,1.1,1.2,0.0,0.0,0.0,0.1,0.5,0.6,0.7,0.0,0.0
11,Marlee Arrington,0.1,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.0,0.0
-,Team Total,11.4,11.4,1.4,19.3,1.4,0.4,3.7,2.2,2.2,0.4,0.0
-,Opponent,10.8,10.8,1.8,19.5,1.8,0.3,3.4,2.0,2.0,0.4,0.0
