number,player,pts,k,k_per_set,ae,ta,pct,a,a_per_set,sa,sa_per_set,se
7,Alanah Clemente,4.3,3.6,3.9,0.9,8.0,.269,0.2,0.2,0.5,0.5,0.9
8,Valentina Vaulet,3.8,3.2,3.2,0.8,7.6,.266,0.2,0.2,0.5,0.5,0.6
13,Sophia Meyers,2.5,2.3,2.5,0.4,6.5,.229,0.3,0.3,0.2,0.2,0.3
14,Iva Sucurovic,2.1,1.6,1.6,0.3,3.0,.361,0.1,0.1,0.2,0.2,0.3
10,Maria Tabacuks,1.5,1.3,2.1,0.4,3.6,.183,0.1,0.2,0.1,0.1,0.1
9,Holley McFadden,1.2,0.8,0.9,0.2,1.9,.270,0.1,0.1,0.0,0.0,0.0
3,Ksenija Tomic,1.1,0.9,1.2,0.3,2.4,.189,0.1,0.2,0.0,0.1,0.1
6,Cora Taylor,0.5,0.3,0.3,0.1,1.0,.154,8.9,8.9,0.2,0.2,0.4
2,Reese Sheppard,0.2,0.0,0.0,0.0,0.1,.000,0.7,0.8,0.2,0.2,0.3
4,Jillian McCarty,0.2,0.1,0.3,0.0,0.2,.333,0.2,0.7,0.1,0.3,0.1
22,Maya De Los Reyes,0.1,0.0,0.0,0.0,0.0,-,0.0,0.1,0.1,0.1,0.1
5,Kamden Mitchell,0.1,0.1,0.1,0.0,0.1,.200,1.9,3.4,0.1,0.1,0.1
46,Natalie Fukumoto,0.1,0.0,0.0,0.0,0.0,.200,0.4,0.5,0.0,0.0,0.1
1,Orian Drore,0.1,0.0,0.0,0.0,0.0,1.000,0.1,0.2,0.0,0.0,0.0
11,Marlee Arrington,0.1,0.0,0.1,0.1,0.3,-.200,0.0,0.0,0.0,0.0,0.0
-,Team Total,22.6,13.1,13.1,3.1,31.8,.252,12.1,12.1,1.8,1.8,3.0
-,Opponent,21.7,11.8,11.8,2.6,30.4,.231,10.9,10.9,1.4,1.4,2.5
