number,player,pts,k,k_per_set,ae,ta,pct,a,a_per_set,sa,sa_per_set,se
18,Kennedy Martin,6.0,5.4,5.4,1.0,12.1,.319,0.2,0.2,0.4,0.4,0.6
13,Emmi Sellman,2.3,2.1,2.2,0.5,6.7,.161,0.1,0.1,0.1,0.1,0.2
44,Maggie Mendelson,2.2,2.0,2.2,0.3,4.2,.363,0.1,0.2,0.0,0.0,0.0
14,Caroline Jurevicius,2.0,1.9,2.1,0.5,4.9,.185,0.0,0.0,0.0,0.0,0.1
5,Jordan Hopp,1.5,1.1,1.2,0.2,2.4,.310,0.1,0.2,0.1,0.1,0.3
27,Alexis Ewing,1.1,1.0,1.5,0.5,3.4,.087,0.0,0.0,0.0,0.0,0.0
21,Izzy Starck,0.9,0.6,0.6,0.2,1.8,.167,10.0,10.0,0.3,0.3,0.6
8,Gabrielle Nichols,0.9,0.7,1.0,0.1,1.5,.305,0.0,0.0,0.0,0.0,0.1
7,Addie Lyon,0.5,0.2,0.2,0.1,0.8,.043,9.0,9.8,0.2,0.2,0.6
3,Gillian Grimes,0.3,0.0,0.0,0.0,0.2,.158,0.9,0.9,0.2,0.2,0.4
4,Karis Willow,0.2,0.1,0.2,0.1,0.5,-.053,0.0,0.0,0.0,0.1,0.1
2,Ava Falduto,0.2,0.0,0.0,0.0,0.1,.143,0.6,0.6,0.2,0.2,0.3
23,Catherine Burke,0.1,0.0,0.0,0.0,0.2,.000,0.0,0.0,0.0,0.0,0.1
11,Joce Nathan,0.0,0.0,0.0,0.0,0.1,.000,0.1,0.2,0.0,0.0,0.2
6,Kate Lally,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.2
10,Ava Jurevicius,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.1
9,Lexi Gin,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.1
-,Team Total,21.9,13.5,13.5,3.1,33.8,.250,12.6,12.6,1.4,1.4,2.9
-,Opponent,21.6,12.2,12.2,2.4,32.1,.238,11.3,11.3,1.3,1.3,2.3
