number,player,dig,dig_per_set,re,ra,re_per_set,bs,ba,blk,blk_per_set,be,bhe
4,Kenna Wollard,2.0,2.0,0.4,6.6,0.4,0.1,0.4,0.5,0.5,0.2,0.0
1,Rachel Williams,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Allie Shondell,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Nataly Moravec,0.2,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Lindsey Miller,0.2,0.2,0.0,0.1,0.0,0.1,0.8,0.9,0.9,0.1,0.0
3,Ryan McAleer,3.6,3.6,0.3,4.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0
7,Bianka Lulic,0.2,0.2,0.0,0.1,0.0,0.1,0.7,0.7,0.9,0.1,0.0
21,Julia Kane,1.9,1.9,0.2,4.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
14,Grace Heaney,1.9,1.9,0.1,0.7,0.1,0.1,0.7,0.8,0.8,0.0,0.0
6,Sienna Foster,0.5,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Dior Charles,0.2,0.2,0.0,0.1,0.0,0.1,1.0,1.1,1.1,0.1,0.0
5,Taylor Anderson,2.1,2.1,0.0,0.0,0.0,0.1,0.5,0.6,0.6,0.0,0.0
13,Akasha Anderson,0.4,0.4,0.2,2.2,0.2,0.1,0.3,0.5,0.5,0.0,0.0
-,Team Total,13.1,13.1,1.3,18.8,1.3,0.6,3.9,2.5,2.5,0.6,0.0
-,Opponent,12.4,12.4,1.3,20.9,1.3,0.4,2.7,1.7,1.7,0.3,0.0
