number,player,pts,k,k_per_set,ae,ta,pct,a,a_per_set,sa,sa_per_set,se
4,Kenna Wollard,4.7,4.4,4.4,1.0,10.6,.262,0.2,0.2,0.2,0.2,0.5
14,Grace Heaney,3.5,3.0,3.0,0.4,7.2,.319,0.2,0.2,0.2,0.2,0.2
13,Akasha Anderson,3.0,2.9,2.9,0.6,7.2,.282,0.0,0.0,0.0,0.0,0.0
12,Lindsey Miller,1.9,1.6,1.6,0.2,3.5,.317,0.1,0.1,0.0,0.0,0.1
9,Dior Charles,1.6,1.2,1.2,0.2,2.5,.323,0.0,0.0,0.0,0.0,0.0
7,Bianka Lulic,1.1,0.8,1.1,0.2,1.7,.354,0.0,0.1,0.0,0.0,0.0
5,Taylor Anderson,1.1,0.8,0.8,0.1,1.8,.336,10.8,10.8,0.1,0.1,0.2
10,Nataly Moravec,0.5,0.5,1.4,0.1,1.5,.162,0.0,0.0,0.0,0.0,0.0
21,Julia Kane,0.3,0.0,0.0,0.0,0.1,-.059,0.4,0.4,0.3,0.3,0.2
3,Ryan McAleer,0.2,0.0,0.0,0.0,0.1,.375,1.3,1.3,0.2,0.2,0.3
6,Sienna Foster,0.2,0.0,0.0,0.0,0.0,.500,0.0,0.0,0.2,0.2,0.3
1,Rachel Williams,0.1,0.0,0.0,0.0,0.0,-,0.0,0.0,0.1,0.2,0.2
11,Allie Shondell,0.1,0.0,0.0,0.0,0.1,.000,0.3,1.0,0.1,0.2,0.1
-,Team Total,23.1,14.0,14.0,2.7,33.2,.290,13.0,13.0,1.3,1.3,2.1
-,Opponent,20.9,12.9,12.9,2.9,34.3,.220,12.1,12.1,1.3,1.3,2.2
