number,player,dig,dig_per_set,re,ra,re_per_set,bs,ba,blk,blk_per_set,be,bhe
6,Abby Vander Wal,0.6,0.6,0.1,3.3,0.1,0.0,0.3,0.3,0.3,0.0,0.0
1,Ella Swindle,1.8,1.8,0.0,0.1,0.0,0.0,0.3,0.4,0.4,0.0,0.0
4,Torrey Stafford,2.4,2.4,0.3,6.5,0.3,0.1,0.4,0.5,0.5,0.0,0.0
23,Cari Spears,1.3,1.3,0.0,0.1,0.0,0.0,0.4,0.5,0.5,0.1,0.0
9,Kenna Miller,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Whitney Lauenstein,0.4,0.6,0.0,0.3,0.0,0.0,0.5,0.5,0.7,0.1,0.0
16,Anja Kujundzic,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Devin Kahahawai,0.2,0.2,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.0,0.0
10,Taylor Harvey,0.3,0.5,0.0,0.1,0.0,0.0,0.6,0.6,0.9,0.0,0.0
2,Emma Halter,3.6,3.6,0.2,4.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0
32,Ramsey Gary,1.9,1.9,0.1,2.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0
55,Nya Bunton,0.3,0.4,0.0,0.2,0.0,0.0,0.7,0.7,0.8,0.0,0.0
3,Rella Binney,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ayden Ames,0.2,0.2,0.0,0.1,0.0,0.1,0.9,1.0,1.1,0.0,0.0
-,Team Total,13.6,13.6,0.9,17.7,0.9,0.3,3.7,2.2,2.2,0.3,0.0
-,Opponent,11.5,11.5,1.2,21.5,1.2,0.4,3.7,2.3,2.3,0.4,0.0
