number,player,pts,k,k_per_set,ae,ta,pct,a,a_per_set,sa,sa_per_set,se
4,Torrey Stafford,5.1,4.7,4.7,0.4,10.1,.360,0.3,0.3,0.3,0.3,0.4
23,Cari Spears,3.4,3.3,3.3,0.6,7.1,.295,0.1,0.1,0.1,0.1,0.2
6,Abby Vander Wal,2.6,2.5,2.6,0.4,6.6,.249,0.1,0.1,0.0,0.0,0.0
5,Ayden Ames,1.7,1.4,1.5,0.1,3.0,.368,0.1,0.1,0.0,0.0,0.0
55,Nya Bunton,1.4,1.1,1.3,0.2,2.3,.348,0.0,0.1,0.1,0.1,0.1
26,Whitney Lauenstein,1.3,1.1,1.6,0.1,2.7,.299,0.0,0.0,0.0,0.0,0.0
10,Taylor Harvey,1.3,1.1,1.4,0.2,2.0,.371,0.1,0.1,0.1,0.1,0.1
1,Ella Swindle,0.7,0.5,0.5,0.1,1.1,.306,8.9,8.9,0.2,0.2,0.4
44,Devin Kahahawai,0.6,0.5,0.7,0.1,1.6,.236,0.0,0.0,0.0,0.0,0.0
2,Emma Halter,0.2,0.0,0.0,0.0,0.1,.100,1.5,1.5,0.2,0.2,0.3
9,Kenna Miller,0.1,0.0,0.1,0.0,0.0,1.000,0.0,0.0,0.0,0.1,0.2
16,Anja Kujundzic,0.1,0.0,0.0,0.0,0.0,-,0.0,0.1,0.1,0.1,0.2
32,Ramsey Gary,0.1,0.0,0.0,0.0,0.0,-,0.3,0.3,0.1,0.1,0.3
3,Rella Binney,0.1,0.0,0.0,0.0,0.0,.000,2.5,2.7,0.1,0.1,0.2
-,Team Total,23.8,14.7,14.7,2.0,33.4,.315,13.8,13.8,1.2,1.2,2.1
-,Opponent,19.7,12.2,12.2,3.2,34.2,.199,11.5,11.5,0.9,0.9,2.3
