number,player,pts,k,k_per_set,ae,ta,pct,a,a_per_set,sa,sa_per_set,se
15,Mimi Colyer,5.8,5.4,5.4,0.9,11.8,.340,0.1,0.1,0.2,0.2,0.5
1,Una Vajagic,3.0,2.8,2.8,0.6,6.4,.271,0.4,0.4,0.2,0.2,0.4
32,Grace Egan,2.7,2.2,2.3,0.5,4.9,.264,0.3,0.3,0.3,0.3,0.4
52,Carter Booth,2.6,2.2,2.2,0.2,4.1,.466,0.1,0.1,0.0,0.0,0.0
17,Alicia Andrew,1.9,1.5,1.5,0.1,3.2,.373,0.1,0.1,0.0,0.0,0.0
24,Charlie Fuerbringer,1.1,0.7,0.8,0.2,1.6,.318,11.7,12.3,0.2,0.2,0.3
10,Madison Quest,1.0,0.9,1.1,0.2,2.4,.250,0.1,0.1,0.1,0.1,0.1
2,Addy Horner,0.5,0.2,0.3,0.0,0.6,.306,4.5,5.6,0.2,0.3,0.3
6,Trinity Shadd-Ceres,0.4,0.4,0.8,0.1,1.0,.194,0.1,0.2,0.0,0.0,0.0
19,Tosia Serafinowski,0.4,0.4,1.0,0.0,0.7,.500,0.0,0.0,0.0,0.0,0.0
12,Natalie Wardlow,0.3,0.1,0.1,0.0,0.3,.036,0.0,0.0,0.2,0.2,0.5
7,Kristen Simon,0.2,0.0,0.0,0.0,0.1,-.125,1.1,1.1,0.2,0.2,0.5
8,Morgan Van Wie,0.1,0.0,0.0,0.0,0.0,-,0.0,0.0,0.1,0.2,0.2
16,Aniya Warren,0.0,0.0,0.0,0.0,0.0,.000,0.1,0.2,0.0,0.0,0.0
18,Maile Chan,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.1
13,Jada Cerniglia,0.0,0.0,0.0,0.0,0.0,-,0.1,0.3,0.0,0.0,0.0
-,Team Total,24.2,15.2,15.2,2.5,33.4,.327,14.3,14.3,1.4,1.4,2.9
-,Opponent,19.5,11.4,11.4,2.7,33.7,.187,10.6,10.6,0.8,0.8,2.2
